fold,prediction,reference
3,سرطان الدَّم النخاعي الحاد ومتلازمة خلل التَّنسج النخاعي,سرطان الدَّم النخاعي الحاد ومتلازمة خلل التنسّج النخاعي
3,٤ إذا نسيت تناول ليفيال,3_4 في حال نسيتِ تناول ليفيال
3,إذا توقفت عن استخدام عقار ميجيون,إذا توقفت عن استخدام عقار ميجيون
3,الآلام هي طريقة الجسم لإرسال رسالة إلى دماغك تطلبها المساعدة.,الألم هو الطريقة التي يختارها الجسم لإرسال رسالة إلى عقلك لإبلاغه بحاجته للمساعدة.
3,سيقوم طبيبك أو ممرضك/ممرضتك بتأكد من أن المحلول صافي وخالي من الجسيمات، والعبوة غير ملفوفة، ويتم إزالة الغطاء من كيس بوليولفين (خال من التثني) قبل الاستخدام.,سيضمن لك الطبيب أو الممرضة أن يكون المحلول صافياً وخالٍ من الجسيمات ، وأن الحاوية غير تالفة قبل الاستخدام.
3,الباربيتورات (لمشاكل النوم أو الصرع),بربيتورات (لمعالجة الأرق والصرع)
3,تناول الجرعة التالية في الوقت المحدد.,خذ الجرعة التالية في الوقت الصحيح.
3,إن تناول هذا الدواء بشكل متزامن قد يسبب احمرار، تقلصات في المعدة، قيء (الشعور بالمرض) وخفقان (خفقان القلب).,قد یسبب تناولھا معاً احمرار، وتشنجات في المعدة، والتقيؤ (المرض) وخفقان القلب.
3,يجب عليك إبلاغ طبيبك إذا كنت تخططين للحمل أو إذا كنت تعانين من مشاكل في الحمل.,يجب إبلاغ الطبيب إذا كنت تخططين للحمل أو إذا كنت تعاني من صعوبة حصول الحمل.
3,معدل الخبرات في علاج النساء اللواتي يعانون من انقطاع الطمث المبكر (نتيجة لفشل المبيضات أو جراحة) محدود.,تُعتبر تجربة الدواء لدى النساء اللواتي بلغن سن اليأس في وقت مُبكر (بسبب عمليّة جراحيّة أو بسبب قصور في المُبيضَيْن) محدودة.
3,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,قد يتسبب ذلك أيضًا في متلازمة ما بعد العناية المركزة بعد الشفاء.
3,١٩ - وفيروسات كورونا البشرية المكتسبة من الخفافيش، تُظهر البروتينات المضادة للفيروسات في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخف,أظهر عدد قليل فقط من المرضى الذين يعانون من نقص المناعة إصابة شديدة للجهاز التنفسي السفلي.
3,يجب ألا يعطوك أي طعام أو شراب لأن ذلك قد يؤدي إلى اختناقك.,ولا يجب أن يعطوك أي طعام أو شراب، لأنه قد ينحشر في حلقك ويصيبك بالاختناق.
3,قد يتمزق أثناء الولادة المهبلية أو قد يتم قطع المهبل لمساعدة طفلك على الخروج، والذي يطلق عليه اسم استئصال المهبل.,وقد يحدث لها تمزق أثناء الولادة المهبلية أو قطع في المهبل لمساعدة طفلك على الخروج، ويسمى بضع الفرج أو شق العجان.
3,قد لا ينتهي هذا النزيف عندما يحين موعد بدء تناول حبوب منع الحمل التالية.,قد لا ينتهي هذا النزيف عندما يحين الوقت للبدء في تناول الحبوب من الشريط التالي.
3,تناول القرص الأول من البانتوبرازول قبل ساعة من الإفطار والقرص الثاني من رازون قبل ساعة من وجبة المساء.,تناول أول قرص من رازون قبل ساعة من وجبة الفطور والقرص الثاني قبل ساعة من وجبة المساء.
3,إذا كان جلدك رقيقاً وظهرت خطوط حمراء دقيقة وتضخم الأوعية الدموية، وخاصة على وجهك.,إذا لاحظت أن جلدك رقيق مع خطوط حمراء صغيرة به أو أوعية دموية كبيرة، خاصة في منطقة الوجه.
3,للمساعدة في علاج الهبّات الساخنة,للمساعدة في تخفيف الهبّات الساخنة
3,تتوفر عبوات مستشفيات.,عبوات خاصة بالمستشفيات.
3,لأن بريمبيران يمكن أن يؤثر على طريقة عمل الأدوية الأخرى.,هذا لأنّ بريمبيران قد يؤثّر على طريقة عمل بعض الأدوية.
3,إذا ظهرت عليك أية آثار جانبية، فتحدث إلى طبيبك أو الصيدلي.,إذا تعرضت لأي آثار جانبية، فتحدث إلى طبيبك أو الصيدلي.
3,تنميل الجلد.,سيتم تخدير الجلد.
3,إن تجاوز الجرعة الصحيحة قد يؤدي إلى انخفاض ضغط الدم بشكل كبير، وسرعة ضربات القلب بشكل غير منتظم.,قد يسبّب تجاوز الجرعة الصحيحة انخفاض ضغط الدم بشكل كبير وعدم انتظام دقّات القلب أو تسارعها.
3,جلاكسو سميث كلاين دونجارڤان المحدودة,جلاكسوسميث كلاين
3,وفي الحالات الشديدة، من المحتمل حدوث تشنجات عامة، ووذمة دماغية وفقدان عميق بالوعي (غيبوبة).,من المرجح في الحالات الشديدة، تشنجات عامة، ووذمة دماغية وغيبوبة عميقة (حالة غيبوبة).
3,عند البالغين، يمكن استخدام أورينسيا بمفرده أو مع علاجات أخرى للالتهاب الرئوي غير مضادات عامل تنكروز الورم.,في حالة البالغين، قد يستخدم أورينسيا وحده أو مع علاجات أخرى لالتهاب المفاصل الروماتويدي (RA) عدا مضادات مستقبلات عامل نخر الورم (TNF).
3,١٩ - وفيروسات كورونا البشرية المكتسبة من الخفافيش، تُظهر البروتينات المضادة للفيروسات في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخفافيش، والتي تُظهر في الخف,يشترك هذا الفيروس وفيروسات كورونا الأخرى للخفافيش في تماثل متواليات النيوكليوتيدات بنسبة 88-92% مع سارس-كوف.
3,لم يتم إثبات سلامة وفعالية بريجابالين في الأطفال والمراهقين (أقل من 18 عاماً)، ولذلك يجب عدم استخدام بريجابالين في هذه الفئة العمرية.,لم تثبت سلامة و فعالية استعمال هذا الدواء للأطفال و المراهقين (الأقل من 18 سنة من العمر) وبالتالي، يجب عدم استعمال بريجابالين لهذه الفئة العمرية.
3,يحتوي هذا الكيس على حوالي ربتين من السوائل.,ويسع هذا الكيس حوالي لترين (2 كوارت) من السائل.
3,تمارين أسفل الظهر,تمارين الجزء السفلي للظهر
3,لذلك، قد تتأثر القدرة على القيادة واستخدام الآلات في بعض الحالات.,لذلك، قد تتأثر القدرة على القيادة واستخدام الآلات في بعض الحالات.
3,الأطفال من عمر سنتين إلى ۱۲ سنة والذين يزنون ۳۰ كجم أو أقل:,الاطفال من عمر 2 الى 12 سنة الذين وزنهم 30 كغم أو اقل:
3,تناول القرص (الأقراص) بمجرد أن تتذكر، ما لم يكن أقل من 4 ساعات قبل موعد الجرعة التالية.,خذ أقراصك بمجرد أن تتذكرها، ما لم يكن متبقياً أقل من 4 ساعات قبل أن يحين موعد جرعتك التالية.
3,للاستئصال المؤقت لحرقة العين، والتهيج، وعدم الراحة بسبب جفاف العين أو بسبب التعرض لرياح أو أشعة الشمس، كما يمكن استخدامه كمحافظة ضد المزيد من التهيج، كما أنه قد أثبت أنه يحسن جفاف العين عند استخدامه بعد العلاج بالعين.,"يستخدم للتخفيف المؤقت من الالتهاب و التهيج وعدم الراحة الناتج عن جفاف العين, أو نتيجة التعرض للرياح أو الشمس, كما يمكن أن يستخدم للوقاية من أي إلتهابات أخرى, كما ظهر أنها تعمل على تحسين جفاف العين حينما استخدمت بعد عملية الليزك."
3,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,الاسم الأخير للفيروس هو فيروس كورونا المرتبط بمتلازمة الشرق الأوسط التنفسية (مارس-كوف).
3,القلب والدورة الدموية,القلب والدورة الدمويّة
3,بعض الآثار الجانبية يمكن أن تكون خطيرة وتحتاج إلى عناية طبية فورية:,بعض الآثار الجانبية قد تكون خطيرة و تحتاج إلى رعاية طبية فورية:
3,سرطان خلايا الدَّم البيضاء (سرطان الدَّم النخاعي الحاد، AML)؛,سرطان خلايا الدَّم البيضاء (سرطان الدَّم النخاعي الحاد).
3,مدد العكاز إلى اليمين بأقصى ما يمكنك لمدة 10 ثوانٍ.,مد اللسان إلى اليمين بأقصى ما يمكنك لمدة 10 ثوان.
3,استخدم المقعد المكثف حتى:,يُستخدم المقعد المعزز حتى:
3,إذا وجدت أن بعض الأطعمة تؤدي إلى ظهور الأعراض، فمن المنطقي عدم تناولها.,إذا كنت تشعر أن بعض الأطعمة تتسبب في ظهور الأعراض لديك فيكون من البديهي أن تتوقف عن هذه الأطعمة.
3,التأثيرات على القدرة على القيادة واستخدام الآلات:,ه. التأثيرات على القدرة على قيادة واستخدام الآلات:
3,يمكنك استخدام ما يصل إلى 3 بخاخات خلال 15 دقيقة.,يمكنك استخدام ما يصل إلى 3 بخّات في15 دقيقة.
3,تتضمن هذه الأدوية:,تشمل هذه الأدوية:
3,شرائط الاختبار,أشرط ة الاختبار
3,بإبلاغك عن الآثار الجانبية، يمكنك المساعدة في توفير المزيد من المعلومات حول سلامة الدواء.,عن طريق الإبلاغ عن الآثار الجانبية التي يمكن أن تساعد في توفير مزيد من المعلومات حول سلامة الدواء.
3,ليدوكايين (لعلاج أمراض القلب أو التخدير).,ليدوكائين (لعلاج الحالات القلبية أو يستعمل كمخدر).
3,يمكن غلق الجرح باستخدام مشابك أو غُرز أو أشرطة خاصة تسمى Steri-Strips.,يتم غلق الجرح بمشابك أو غُرز خياطة أو أشرطة خاصة تسمى steri-strips
3,يرجى إخبار الطبيب أو الصيدلي إذا كنت تتناول أو تناولت مؤخراً أي أدوية أخرى، بما في ذلك الأدوية التي يتم الحصول عليها دون وصفة طبية.,يُرجى إبلاغ الطبيب المعالج لك أو الصيدلي الخاص بك، إذا كنت تتناول أو قد تناولت مؤخرًا أية أدوية أخرى، بما في ذلك الأدوية التي حصلت عليها دون وصفة طبية.
3,بروبينيسيد (دواء يستخدم لعلاج النقرس),بروبينيسيد (دواء يستخدم لعلاج النقرس)
3,مثبطات قوية لمنع انتشار CYP2C9 (مثل السلفينبايرازون وفوريكونازول)، قد يرتفع مستوى رابيدوس في الدم عند تناوله مع هذه الأدوية.,مثبطات CYP2C9  القوية (مثل سالفين بيرازون وفوريكونازول) ، قد يزيد مستوى رابيدوس في الدم عند تناوله بشكل متزامن مع هذه الأدوية.
3,إذا رأيت فقاعات هوائية:,عند مشاهدة الفقاعات الهوائية:
3,إذا كان الطفل يتناول ميتوكلوبراميد أو دومبيريدون (يستخدم لعلاج الغثيان والقيء) أو كولستيرامين (يستخدم لعلاج ارتفاع الكوليسترول).,إذا كان الطفل يتناول الميتاكلوبراميد، أو الدومبيريدون (يستعملان في علاج الغثيان أو القيء) أو الكوليستيرامين (يستعمل لخفض مستوى الكوليسترول في الدم).
3,الاستخدام في الأطفال والمراهقين,الاستخدام للاطفال والمراهقين
3,الأسبرين (حمض أسيتيل ساليسيليك)، إذا كنت تتناول أكثر من 3 غرام يومياً.,إذا كنت تأخذ أكثر من ۳ جرامات من (الاسبرين حمض الأسيتيل ساليسيلك) يوميا.
3,أعلم طبيبك إذا كنت تعتقد أنك بحاجة إلى جرعة أكبر من الجرعة الموصوفة لك.,كما يجب عليك أن تخبر طبيبك إذا شعرت أنك محتاج لدواء أكثر من الموصوف.
3,لا تستخدم العلاجات العشبية التي يُعلن عنها لعلاج الجلوكوما.,لا تستخدم أدوية أعشاب المعروفة لعلاج الجلوكوما.
3,استشر طبيبك دائمًا إذا كنت تفكر في إيقاف العلاج.,دائماً قم باستشارة الطبيب قبل التوقف عن تناول الدواء.
3,"الجرعة القصوى الموصى بها للعلاج لدى مرضى غسيل الكلى الذين يعانون من فشل كلوي شديد هي ٧,٥ ملجم يومياً.",الجرعة القصوى الموصى بها لمرضى الفشل الكلوي الوخيم و الذين يتلقون غسيل للكلى هي ۷٫٥ ملغم في اليوم.
3,الحد من ملامسة الأشخاص المرضى.,الحد من التعامل مع الأشخاص الذين يعانون من المرض.
3,يجب النظر في خفض الجرعة.,ينبغي التفكير في خفض الجرعة .
3,عادةً لا يؤثر هذا الدواء على قدرتك على القيادة أو تشغيل الآلات.,لا يؤثر هذا الدواء عادةً على قدرتك على القيادة أو تشغيل الآلات.
3,أقراص باريت 10 ملغم المقاومة لعصارة المعدة هي قرص وردي مغلف وثنائي التحدب.,أشكال أقراص باريت ومحتويات العبوة أقراص باريت 10 ملجم المقاومة للعصارة الهضمية عبارة عن أقراص محدبة من الجانبين مغطاة بطبقة رقيقة قرنفلية اللون.
3,سوف يستخدم طبيبك أقل جرعة فعالة ممكنة، ولن يقوم بتسريب بلازمكس لأكثر من 24 ساعة.,سيستخدم طبيبك أقل جرعة فعالة ممكنة ولن يسرب بلازمكس للوريد لأكثر من ۲٤ ساعة
3,اضطرابات المفاصل,اضطرابات المفاصل
3,في بعض الحالات، قد تؤدي هذه التفاعلات التحسسية إلى تفاعل شديد يسمى التأقية، والذي قد يشمل الصدمة.,في بعض الحالات قد تؤدي ردود الفعل التحسُّسيّة إلى ردود فعل شديدة تُسمّى الإِعوار أو التأق والتي قد تشمل صدمة الحساسيّة.
3,خذ احتياطات خاصة مع ميباجن,رعاية خاصة مع ميباجن
3,تفاعلات حساسية خطيرة تجاه نوفورابِد أو أحد مكوناته (تسمى رد الفعل التحسسي الجهازي) هي تأثير جانبي نادر جداً ولكنها قد تكون مهددة للحياة.,التفاعلات التحسسية الخطيرة لاستعمال نوفورابِد أو أحد مكوناته (يطلق عليه تفاعل الحساسية العام) هو أثر جانبي نادر للغاية ولكن يمكن أن يهدد الحياة.
3,العدوى المهبلية,الإلتهابات المهبلية
3,كنت تعاني من اضطرابات في تدفق الدم في الأوعية الدماغية أو الأوعية القلبية، حيث أنك ستكون معرضًا بشكل خاص لخطر الإصابة بانخفاض حاد في ضغط الدم.,إذا كنت تعاني من اضطرابات في الأوعية التي تزوّد دماغك أو قلبك بالدم لأنك تكون معرّضاً لخطر كبير إذا واجهت هبوطاً حادّاً في ضغط الدم.
3,nan,عقار موبيك غير مناسب للاستخدام في حالة الحاجة إلى تخفيف فوري للألم الحاد.
3,للمرضى الذين يعانون من الجلوكوما، يجب إعطاء بيلوكاربين موضعيًا.,أما بالنسبة للمرضى الذين يعانون من الجلوكوما فيتم اعطائهم ماده بيلوكاربين موضعيا.
3,يحفظ بعيدا عن متناول الأطفال,يحفظ بعيداً عن متناول أيدي الأطفال.
3,تاكروليمس (يستخدم لمنع رفض الزرع)،,تاكروليموس (يستخدم لمنع رفض العضو المزروع)،
3,قد تتغير الأدوية التي تتناولها بعد الجراحة.,قد تتغير الأدوية التي تتناولها بعد الجراحة.
3,إذا كنت تعاني من الجفاف، على سبيل المثال نتيجة نوبة تقيؤ لفترات طويلة أو الإسهال.,إذا كنت تعاني من الجفاف، مثلاً نوبة مطولة من القيء أو الإسهال.
3,تناول و شرب الكثير من الطعام والسوائل,تناول الكثير من الطعام والسوائل
3,تاكروليمس (دواء يستخدم لتغيير طريقة عمل جهاز المناعة لديك),تاكروليمس (علاج يعمل على تغيير طريقة عمل مناعتك)
3,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,يمثل هذا أهمية خاصة للأشخاص الذين يتعاملون مع الطعام أو يعملون في المجال الطبي، ولكنه أيضًا إجراء مهم لعامة الأفراد.
3,أوبادري الأخضر (يحتوي على لاكتوز أحادي الماء، هيبروميلوز، ثاني أكسيد التيتانيوم (E171)، غليسيرول ثلاثي الأسيتات، FD&C أزرق (E132)، أكسيد الحديد الأصفر (E172),اوبادراي أخضر (يحتوي علي لاكتوز آحادي الماء، هيبروميلوز، ثاني اوكسيد التيتانيوم ((E171، جلسرول ثلاثي الاسيتات٬(E132) blue  FD&C، أوكسيد الحديد الأصفر E172))
3,إذا نسيت استخدام بيوريجون,في حال نسيت حقن بيوريجون
3,النوبات، التي عادة ما تكون مرتبطة بسجل مرضي من النوبات الصرعية (الصرع),النوبات ، وعادة ما ترتبط مع تاريخ من النوبات (الصرع) .
3,قد يقلل ماكسيل من فعالية حبوب منع الحمل.,ماكسيل قد يخفض من فعالية أقراص منع الحمل.
3,اكتب الأعراض التي تعاني منها، مثل سرعة ضربات القلب أو الدوار أو الألم.,أكتب علاماتك مثل تسارع ضربات القلب أو الدوار  أو الألم.
3,بلع القرص مع شربة ماء.,ابتلع القرص مع الماء.
3,الليثيوم، سيليجيلين، نبتة سانت جونز، ترامادول (مسكن للألم)، تريبتان (لعلاج الصداع النصفي) وتريبتوفان، هناك خطر متزايد للإصابة بمتلازمة السيروتونين الخفيفة عند تناول هذه الأدوية مع أكستين، سيقوم طبيبك بإجراء فحوصات أكثر تكراراً.,الليثْيُوم، سيليجيلين، نبته سانت جون، ترامادول (مسكنألالم )، التيربيتان (للصداع النصفي ) وتريتوفان، يسبب في زيادة خطر الأصابة بمتلازمة السيروتنين إذا تم أخذهم مع الأكستين فأنه يلزم مراقبة سريرية محكمة و أكثر تكرار.
3,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,تخضع ثلاث إستراتيجيات تلقيح للدراسة.
3,إذا كنت تعاني من نوبة (نوبات صرع)، اتصل بطبيبك على الفور.,إذا أُصبت بنوبة، فقم بالاتصال بطبيبك في الحال.
3,نقص الذهان,الهوس الخفيف
3,الغدة الدرقية,الغدة الدرقية
3,الشعور بالدوار أو الإغماء.,الشعور بالدوار أو الإغماء.
3,يسُمكن أيضًا أن يخرج جزء من ميرينا من رحمك (قد تلاحظين ذلك أنت وشريكك أثناء الجماع).,أيضاً من الممكن لجزء من ميرينا أن يخرج من الرحم (يمكن لك و لزوجك أن تلاحظا ذلك اثناء الاتصال الجنسي).
3,خلال أخذ عينة الغدة الدرقية، يتم إزالة عينات صغيرة من الخلايا من الغدة الدرقية وإرسالها إلى المختبر للاختبار.,وأثناء اختزاع الغدة الدرقية، تتم إزالة عينات صغيرة من خلايا الغدة الدرقية وإرسالها إلى المعمل من أجل اختبارها.
3,التهابات الأظافر,العدوى في الأظافر
3,الاستخدام في الأطفال والمراهقين,الاستعمال لدى الأطفال والمراهقين.
3,انخفاض ضغط الدم.,انخفاض في ضغط الدم.
3,ألم حاد في العين,ألم شديد في العين
3,ليس من الضروري شرب أي سائل.,ليس من الضروري أن تشرب أي سائل.
3,إذا تأثرت، فلا تشغل الآلات.,إذا كان مصابا، لا تشغل الآلات.
3,احرص على وضع العكازين على السلم الذي تقف عليه.,ضع العكازين على الدرجة التي تقف عليها.
3,فرك الكريم برفق على المنطقة المصابة والجلد المحيط به باستخدام أصابعك النظيفة,ادھن الكریم بلطف على المكان المصاب والجلد المحیط بأصابع نظیفة
3,السعال المستمر,كحة لا تزول
3,"يجب علاج هذا العدوى قبل تناول عقار ميتوكسانترون ""إيبيفيه""؛","ينبغي علاج هذه العدوى قبل استخدام عقار ميتوكسانترون ""إيبيفيه""."
3,بعض الأدوية الأخرى يمكن أن تؤثر أيضا على طريقة عمل لجام.,كما يمكن لبعض الأدوية الأخرى أن تؤثر على الطريقة التي يعمل بها لجام.
3,الاكتئاب:,لعلاج الاكتئاب:
3,مثل جميع الأدوية، يمكن أن يسبب يونيفيت أ فورت آثاراً جانبية، على الرغم من عدم حدوثها لدى الجميع.,مثل جميع الأدوية، يمكن أن يسبب يونيفيت أ فورت في إحداث آثار جانبية، على الرغم من أن الجميع لا يصاب بها.
3,إذا كنت أقل من 18 عامًا أو أكثر من 75 عامًا.,إذا كان عمرك أقل من 18 أو أكثر من 75 عامًا.
3,كنت تنوين الحمل أو الرضاعة الطبيعية.,إذا كنتِ تنوين الحمل أو الإرضاع.
3,سوف يخبرك طبيبك عن الجرعة التي يجب عليك تناولها عند البدء بتناولها لأول مرة.,طبيبك سوف يخبرك ما هي الكمية التي يجب أن تتناولها عندما تبدأ تناوله لأول مرة.
3,القلب:,القلب:
3,خلال بضعة أيام من تناول آخر حبة من الشريط، يجب أن تصاب بنزيف انسحابي يشبه الدورة الشهرية.,في غضون بضعة أيام من تناول آخر حبة من الشريط، يجب أن يحدث لديك نزيف شبيه بالدورة نتيجة انسحاب الدواء.
3,إذا كنت تعاني أو عانيت في السابق من الربو الشعبية,إذا كنت تعاني أو عانيت سابقاً من الربو القصبي.
3,تحدث إلى طبيبك قبل استخدام عقار ليوريسال إذا كنت تعاني أو عانيت في السابق من أي من الأمراض أو الحالات التالية:,تحدَّث إلى طبيبك قبل تناوُل عقار ليوريسال إذا كنت مُصابًا أو أُصبت سابقًا بأيٍّ من الأمراض أو الحالات الآتية:
3,إذا كنت قلقًا بشأن أي شيء في هذا القسم، فتحدث إلى طبيبك حول المخاطر والفوائد التي تترتب عليها العلاج التعويضي الهورموني.,إذا كنتِ قلقة بشأن أي شيء في هذا البند، تحدثي مع طبيبك حول المخاطر والفوائد من العلاج التعويضي الهورموني.
3,إذا كنت تعاني من مشاكل شديدة في الكبد.,إذا كان لديك مشاكل شديدة بالكبد.
3,يشير تاريخ انتهاء الصلاحية إلى اليوم الأخير من ذلك الشهر.,تاريخ الإنتهاء يُشير إلى اليوم الأخير من ذلك الشهر.
3,لا تتناول الدواء مع أي دواء آخر يحتوي على الباراسيتامول.,لا تتناوله مع ادوية اخرى تحتوي على الباراسيتامول
3,المصنع في القصيم للصناعات الدوائية والمستلزمات الطبية,انتاج الدوائية مصنع الادوية بالقصيم الشركة السعودية للصناعات الدوائية و المستلزمات الطبيه
3,إذا حدث ذلك، لا تقم بالقيادة أو استخدام الآلات حتى تختفي الأعراض.,إذا حدث لك ذلك، فلا تمارس القيادة ولا تستخدم الآلات حتى تزول الأعراض.
3,ردود فعل جلدية خطيرة - بعضها مع تلفات مخاطية,التفاعلات الجلدية الخطيرة - بعضها مع آفات مخاطية
3,لا تستخدم هذا الدواء بعد تاريخ انتهاء الصلاحية المذكور على العلبة الخارجية.,لا تستخدم هذا الدواء بعد تاريخ انتهاء الصلاحية المذكور على العلبة الخارجية.
3,الجرعة الابتدائية المعتادة هي ٥ ملجم خلال ۲٤ ساعة من نوبتك و ٥ ملجم بعد ذلك بمرور يوم.,الجرعة الأولية المعتادة هى ٥ ملجم خلال ۲٤ ساعة من أزمتك القلبية و ٥ ملجم لمدة يوم آخر.
3,أغلقت المدارس والجامعات في جميع أنحاء البلاد، بما فيها الولايات المتحدة، وبر الصين، وبر الصين، وبر الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصين، وولاية الصينية، وولاية,تحقق من الجاهزية واختر الأدوات الأكثر صلة: قرر إما أن تستخدم الحلول التكنولوجية المتطورة أو أن تستخدم الحلول التكنولوجية البسيطة استنادًا إلى إمكانية الاعتماد على مصادر الطاقة المحلية، والاتصال بالإنترنت، والمهارات الرقمية للمعلمين والطلاب.
3,تدمير الأنسجة )تخثر(، والخراج والجزء الكلي في موضع الحقن غير شائعة (قد تؤثر على ما يصل إلى شخص واحد من بين كل 100 شخص).,تلف الأنسجة (التنخر) وظهور خُرَّاج وكتلة في موضع الحقن أعراض غير شائعة (قد تصيب حتى واحد من كل 100 شخص).
3,ومع ذلك، إذا كنت تشعر بأنك لست على ما يرام يجب عليك التحدث إلى طبيبك قبل القيادة أو تشغيل الآلات.,لكن، إذا شعرت بعدم راحة تحدث إلى طبیبك على الفور قبل القیادة أو استخدام الآلة.
3,إذا ظهرت عليك أية آثار جانبية، فتحدث إلى طبيبك أو الصيدلي أو الممرضة.,إذا تعرضت لأي أعراض جانبية، تحدث مع طبيبك أو الصيدلي أو الممرضة.
3,يجب استخدام أشكال أخرى من الأدوية (على سبيل المثال، محلول فمي) للأطفال الذين يقل وزنهم عن 30 كجم.,يجب استعمال أشكال صيدلانيّة أخرى (المحلول الفموي مثلاً) لدى الأطفال الذين يقلّ وزنهم عن 30 كلغ.
3,أخبري طبيبك إذا كنتِ ترضعين طبيعيًّا أو على وشك البدء في إرضاع طفلك طبيعيًّا.,أخبري طبيبك إذا كنت مرضعة أو على وشك البدء بالإرضاع.
3,إذا نسيت تناول إحدى الجرعات، تناول الجرعة التالية كالمعتاد - لا تضاعف الجرعة.,إذا نسيت تناول جرعة، فتناول الجرعة التالية كالمعتاد - لا تضاعف الجرعة.
3,انخفاض ضغط الدم (الذي يسبب الدوار) والإغماء،,انخفاض ضغط الدم (يُسبب الدوخة) والهبوط،
3,إذا تلقيت عن طريق الخطأ جرعة أعلى من الجرعة الموصوفة لك، اتصل بطبيبك أو بأقرب مستشفى على الفور.,إذا تلقيت جرعة أكبر من الجرعة الموصوفة لك بطريق الخطأ، فاتصل بطبيبك أو بأقرب مستشفى فورًا.
3,أمسك الذراع بمرفق الرسغ أمام الجسم.,أمسك الذراع من المرفق والرسغ وقم بمدّه أمام الجسم.
3,الآثار الجانبية الشائعة جدًا (تحدث لدى أكثر من 1 من كل 10 مرضى):,الآثار الجانبية الشائعة للغاية (في أكثر من 1 من 11 مرضى):
3,انزع الضمادات القديمة وتخلص منها.,إزالة الضمادات القديمة والتخلص منها.
3,"أوميرال كبسولات 10 ملجم تحتوي على جسم أرجواني، حجم غطاء أرجواني (3) مطبوع عليه ""JP1 030""، تحتوي على حبيبات مغلفة معوية بيضاء إلى بيضاء مائل للصفرة.","أميرال 10 مغ كبسولات: ذات جسم أرجواني، و غطاء أرجواني حجم 3 مطبوع عليه ""JP1 030""، تحتوي على كريات معوية بيضاء إلى صفراء مغلفة."
3,مفاتيح سيارتك ومكان منزلك,مفاتيح السيارة والمنزل
3,ضع خطط في وضعها إذا انخفض مستويات السكر في الدم بشكل كبير.,كوني مستعدة للتعامل مع الانخفاض الشديد في مستويات السكر في الدم.
3,إذا كنت قد أصبت في السابق بسكتة دماغية مع نزيف في الدماغ، أو لديك جيوب صغيرة من السوائل في الدماغ نتيجة السكتات الدماغية السابقة.,إذا عانيت في السابق من سكتة دماغية مع نزيف في الدماغ، أو لديك تجمعات صغيرة من السوائل في الدماغ نتيجة للإصابة بسكتات دماغية سابقاً.
3,بعض الناس يشعرون بالانتفاخ أو الامتلاء، ولكن يجب ألا تشعر بأي ألم.,ويشعر بعض الناس بالانتفاخ أو الامتلاء، ولكن لا ينبغي أن تشعر بأي ألم.
3,إذا تناولت الكثير من الأقراص,إذا تناولت الكثير من الأقراص
3,إذا كنت من كبار السن حيث قد تكون أكثر عرضة لخطر انخفاض مستوى الصوديوم في دمك (انظر أعلاه).,إذا كنت من المسنين، حيث قد تكون عرضة لخطر أكبر لانخفاض مستوى الصوديوم في دمك )انظر أعلاه(.
